[EVAL][92/276] final08_Spherical_Abberation_0.9.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.32092sec 
[EVAL][93/276] final08_Vertical_Astigmatism_0.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.65043sec 
[EVAL][94/276] final08_Vertical_Astigmatism_1.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.59715sec 
[EVAL][95/276] final08_Vertical_Astigmatism_1.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.13121sec 
[EVAL][96/276] final08_Vertical_Astigmatism_2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 7.19566sec 
[EVAL][97/276] final09_Defocus_0.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.06667sec 
[EVAL][98/276] final09_Defocus_1.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.09828sec 
[EVAL][99/276] final09_Defocus_1.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.12448sec 
[EVAL][100/276] final09_Defocus_2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.02527sec 
[EVAL][101/276] final09_Spherical_Abberation_0.2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.05526sec 
[EVAL][102/276] final09_Spherical_Abberation_0.4.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.11399sec 
[EVAL][103/276] final09_Spherical_Abberation_0.6.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.15776sec 
[EVAL][104/276] final09_Spherical_Abberation_0.9.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 6.10288sec 
[EVAL][105/276] final09_Vertical_Astigmatism_0.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.34739sec 
[EVAL][106/276] final09_Vertical_Astigmatism_1.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.02726sec 
[EVAL][107/276] final09_Vertical_Astigmatism_1.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 4.99983sec 
[EVAL][108/276] final09_Vertical_Astigmatism_2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.15445sec 
[EVAL][109/276] final10_Defocus_0.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 6.53948sec 
[EVAL][110/276] final10_Defocus_1.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.76008sec 
[EVAL][111/276] final10_Defocus_1.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 4.95425sec 
[EVAL][112/276] final10_Defocus_2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.08650sec 
[EVAL][113/276] final10_Spherical_Abberation_0.2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.10230sec 
[EVAL][114/276] final10_Spherical_Abberation_0.4.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.13732sec 
[EVAL][115/276] final10_Spherical_Abberation_0.6.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.07074sec 
[EVAL][116/276] final10_Spherical_Abberation_0.9.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.12366sec 
[EVAL][117/276] final10_Vertical_Astigmatism_0.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.08952sec 
[EVAL][118/276] final10_Vertical_Astigmatism_1.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.09658sec 
[EVAL][119/276] final10_Vertical_Astigmatism_1.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.06849sec 
[EVAL][120/276] final10_Vertical_Astigmatism_2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.19741sec 
[EVAL][121/276] final11_Defocus_0.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.03658sec 
[EVAL][122/276] final11_Defocus_1.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.11212sec 
[EVAL][123/276] final11_Defocus_1.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.07679sec 
[EVAL][124/276] final11_Defocus_2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.08436sec 
