[EVAL][74/125] i15_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.17792sec 
[EVAL][75/125] i15_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.16753sec 
[EVAL][76/125] i16_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.15021sec 
[EVAL][77/125] i16_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.24612sec 
[EVAL][78/125] i16_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.21838sec 
[EVAL][79/125] i16_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.34058sec 
[EVAL][80/125] i16_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.29170sec 
[EVAL][81/125] i17_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.18635sec 
[EVAL][82/125] i17_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.05362sec 
[EVAL][83/125] i17_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.20548sec 
[EVAL][84/125] i17_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.40799sec 
[EVAL][85/125] i17_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.37764sec 
[EVAL][86/125] i18_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.20051sec 
[EVAL][87/125] i18_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.26450sec 
[EVAL][88/125] i18_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.22769sec 
[EVAL][89/125] i18_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.66930sec 
[EVAL][90/125] i18_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.24297sec 
[EVAL][91/125] i19_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.09455sec 
[EVAL][92/125] i19_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.27172sec 
[EVAL][93/125] i19_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.18163sec 
[EVAL][94/125] i19_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.14086sec 
[EVAL][95/125] i19_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.24172sec 
[EVAL][96/125] i20_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.14640sec 
[EVAL][97/125] i20_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.03578sec 
[EVAL][98/125] i20_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.02571sec 
[EVAL][99/125] i20_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.26381sec 
[EVAL][100/125] i20_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.01238sec 
[EVAL][101/125] i21_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.02516sec 
[EVAL][102/125] i21_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.09896sec 
[EVAL][103/125] i21_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.05354sec 
[EVAL][104/125] i21_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.02623sec 
[EVAL][105/125] i21_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.05055sec 
[EVAL][106/125] i22_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.31749sec 
[EVAL][107/125] i22_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.03780sec 
[EVAL][108/125] i22_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.18121sec 
[EVAL][109/125] i22_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.05946sec 
[EVAL][110/125] i22_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.02288sec 
[EVAL][111/125] i23_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 1.99211sec 
[EVAL][112/125] i23_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.00214sec 
[EVAL][113/125] i23_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.22857sec 
[EVAL][114/125] i23_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.32662sec 
[EVAL][115/125] i23_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.53104sec 
[EVAL][116/125] i24_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.56835sec 
[EVAL][117/125] i24_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.02540sec 
[EVAL][118/125] i24_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.07532sec 
[EVAL][119/125] i24_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.19745sec 
[EVAL][120/125] i24_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.05515sec 
[EVAL][121/125] i25_08_1 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.34177sec 
[EVAL][122/125] i25_08_2 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.13483sec 
[EVAL][123/125] i25_08_3 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.40470sec 
[EVAL][124/125] i25_08_4 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.06944sec 
[EVAL][125/125] i25_08_5 13.46.58.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 2.23831sec 

[TOTAL ] PSNR: 0.00000 SSIM: 0.00000  LPIPS: 0.00000 (2.14169sec)
Computational complexity (Macs):   693.2321712 B
Number of parameters:           11.689616 M
